1000;Paubrasilia echinata;Pau-Brasil;Arvore;Em perigo;Simbolo nacional madeira avermelhada;2023-01-10
1001;Araucaria angustifolia;Pinheiro-do-Parana;Arvore;Em perigo;Conifera tipica do sul do Brasil;2023-01-12
1002;Handroanthus albus;Ipe-Amarelo;Arvore;Pouco preocupante;Floracao amarela intensa no inverno;2023-01-15
1003;Hevea brasiliensis;Seringueira;Arvore;Vulneravel;Fonte natural de latex e borracha;2023-01-20
1004;Victoria amazonica;Vitoria-Regia;Aquatica;Segura;Gigante dos rios da Amazonia;2023-02-05
1005;Euterpe edulis;Palmito-Jucara;Palmeira;Ameacada;Especie chave da Mata Atlantica;2023-02-10
1006;Cattleya labiata;Orquidea-Lilas;Flor;Vulneravel;Rainha das orquideas do Nordeste;2023-02-28
1007;Bertholletia excelsa;Castanheira-do-Brasil;Arvore;Vulneravel;Uma das maiores arvores da Amazonia;2023-03-01
1008;Theobroma cacao;Cacau;Frutifera;Segura;Materia prima do chocolate;2023-03-15
1009;Coffea arabica;Cafe;Arbusto;Segura;Planta de grande importancia economica;2023-03-20
1010;Anacardium occidentale;Caju;Frutifera;Segura;Pseudofruto comestivel e castanha;2023-04-05
1011;Myrciaria cauliflora;Jabuticabeira;Frutifera;Segura;Frutos nascem no tronco;2023-04-10
1012;Eugenia uniflora;Pitangueira;Frutifera;Segura;Fruto pequeno vermelho e doce;2023-04-25
1013;Passiflora edulis;Maracuja;Trepadeira;Segura;Fruto da paixao usado em sucos;2023-05-01
1014;Bromelia antiacantha;Bromelia;Ornamental;Segura;Planta nativa de restingas;2023-05-15
1015;Schinus terebinthifolia;Aroeira-Vermelha;Arvore;Segura;Pimenta rosa culinaria;2023-06-01
1016;Mimosa pudica;Dormideira;Arbusto;Segura;Folhas se fecham ao toque;2023-06-10
1017;Carica papaya;Mamao;Frutifera;Segura;Fruto tropical muito consumido;2023-06-20
1018;Psidium guajava;Goiabeira;Frutifera;Segura;Fruto rico em vitamina C;2023-07-01
1019;Zea mays;Milho;Cereal;Segura;Base da alimentacao mundial;2023-07-15
1020;Handroanthus impetiginosus;Ipe-Roxo;Arvore;Pouco preocupante;Floracao roxa espetacular;2023-08-01
1021;Tabebuia roseoalba;Ipe-Branco;Arvore;Pouco preocupante;Flores brancas e delicadas;2023-08-05
1022;Jacaranda mimosifolia;Jacaranda-Mimoso;Arvore;Vulneravel;Flores azul-arroxeadas;2023-08-10
1023;Aspidosperma polyneuron;Peroba-Rosa;Arvore;Em perigo;Madeira nobre muito explorada;2023-08-15
1024;Cedrela fissilis;Cedro-Rosa;Arvore;Vulneravel;Nativa de varias formacoes florestais;2023-08-20
1025;Swietenia macrophylla;Mogno-Brasileiro;Arvore;Vulneravel;Alto valor comercial na Amazonia;2023-08-25
1026;Hymenaea courbaril;Jatoba;Arvore;Pouco preocupante;Frutos com polpa farinacea;2023-09-01
1027;Copaifera langsdorffii;Copaiba;Arvore;Pouco preocupante;Oleo medicinal extraido do tronco;2023-09-05
1028;Carapa guianensis;Andiroba;Arvore;Pouco preocupante;Sementes produzem oleo repelente;2023-09-10
1029;Euterpe oleracea;Acai;Palmeira;Pouco preocupante;Fruto energetico muito popular;2023-09-15
1030;Mauritia flexuosa;Buriti;Palmeira;Pouco preocupante;Palmeira tipica de veredas;2023-09-20
1031;Theobroma grandiflorum;Cupuacu;Frutifera;Pouco preocupante;Parente do cacau da Amazonia;2023-09-25
1032;Paullinia cupana;Guarana;Trepadeira;Pouco preocupante;Fruto estimulante da Amazonia;2023-10-01
1033;Manihot esculenta;Mandioca;Arbusto;Segura;Raiz base da culinaria indigena;2023-10-05
1034;Ipomoea batatas;Batata-Doce;Rasteira;Segura;Tuberculo doce e nutritivo;2023-10-10
1035;Ananas comosus;Abacaxi;Bromelia;Segura;Fruta acida e refrescante;2023-10-15
1036;Musa paradisiaca;Banana;Herbacea;Segura;Uma das frutas mais consumidas;2023-10-20
1037;Citrus sinensis;Laranja;Frutifera;Segura;Rica em vitamina C;2023-10-25
1038;Citrus limon;Limao;Frutifera;Segura;Fruta citrica azeda;2023-11-01
1039;Mangifera indica;Manga;Frutifera;Segura;Fruta doce e suculenta;2023-11-05
1040;Ceiba speciosa;Paineira;Arvore;Segura;Tronco com espinhos e flores rosas;2023-11-10
1041;Aloe vera;Babosa;Suculenta;Segura;Medicinal usada para pele e cabelo;2023-11-12
1042;Mentha spicata;Hortela;Erva;Segura;Folhas aromaticas para cha;2023-11-15
1043;Rosmarinus officinalis;Alecrim;Arbusto;Segura;Tempero classico de origem mediterranea;2023-11-18
1044;Erythrina verna;Mulungu;Arvore;Segura;Flores vermelhas que atraem beija-flores;2023-11-20
1045;Cecropia pachystachya;Embauba;Arvore;Segura;Arvore pioneira com tronco oco;2023-11-25
1046;Inga edulis;Inga-Cipo;Arvore;Segura;Fruto em vagem com polpa doce;2023-12-01
1047;Malpighia emarginata;Acerola;Frutifera;Segura;Fruta vermelha rica em vitamina C;2023-12-05
1048;Annona muricata;Graviola;Frutifera;Segura;Fruto grande de casca verde e espinhosa;2023-12-10
1049;Cocos nucifera;Coqueiro;Palmeira;Segura;Icone do litoral brasileiro;2023-12-15
1050;Hibiscus rosa-sinensis;Hibisco;Arbusto;Segura;Flores grandes e coloridas;2023-12-20
1051;Helianthus annuus;Girassol;Flor;Segura;Flor amarela que acompanha o sol;2023-12-25
1052;Rosa chinensis;Rosa;Arbusto;Segura;Popular em jardins com espinhos;2024-01-02
1053;Platycerium bifurcatum;Chifre-de-Veado;Samambaia;Segura;Epifita ornamental exotica;2024-01-05
1054;Epipremnum aureum;Jiboia;Trepadeira;Segura;Planta ornamental resistente;2024-01-10
1055;Zamioculcas zamiifolia;Zamioculca;Ornamental;Segura;Folhas verdes brilhantes e resistentes;2024-01-15
1056;Ocimum basilicum;Manjericao;Erva;Segura;Essencial na culinaria italiana;2024-01-20
1057;Plectranthus barbatus;Boldo;Arbusto;Segura;Tradicional para problemas digestivos;2024-01-25
1058;Genipa americana;Jenipapo;Arvore;Segura;Fruto usado para pintura corporal;2024-02-01
1059;Caryocar brasiliense;Pequi;Arvore;Vulneravel;Fruto simbolo do Cerrado com espinhos;2024-02-05